American League Baseball Salaries (2003),,,
,,,
Team,Player,Salary,Position
,,,
New York Yankees,"Acevedo, Juan","9,00,000",Pitcher
New York Yankees,"Anderson, Jason","3,00,000",Pitcher
New York Yankees,"Clemens, Roger","1,01,00,000",Pitcher
New York Yankees,"Contreras, Jose","55,00,000",Pitcher
New York Yankees,"Flaherty, John","7,50,000",Catcher
New York Yankees,"Giambi, Jason","1,14,28,571",First Baseman
New York Yankees,"Hammond, Chris","22,00,000",Pitcher
New York Yankees,"Hitchcock, Sterling","60,00,000",Pitcher
New York Yankees,"Jeter, Derek","1,56,00,000",Shortstop
New York Yankees,"Johnson, Nick","3,64,100",First Baseman
New York Yankees,"Karsay, Steve","50,00,000",Pitcher
New York Yankees,"Latham, Chris","4,00,000",Outfielder
New York Yankees,"Liever, Jon","5,50,000",Pitcher
New York Yankees,"Matsui, Hideki","60,00,000",Outfielder
New York Yankees,"Mondesi, Raul","1,30,00,000",Outfielder
New York Yankees,"Mussina, Mike","1,20,00,000",Pitcher
New York Yankees,"Osuna, Antonio","24,00,000",Pitcher
New York Yankees,"Pettitte, Andy","1,15,00,000",Pitcher
New York Yankees,"Posada, Jorge","80,00,000",Catcher
New York Yankees,"Rivera, Mariano","1,05,00,000",Pitcher
New York Yankees,"Soriano, Alfonso","8,00,000",Second Baseman
New York Yankees,"Trammell, Bubba","25,00,000",Outfielder
New York Yankees,"Ventura, Robin","50,00,000",Third Baseman
New York Yankees,"Weaver, Jeff","41,50,000",Pitcher
New York Yankees,"Wells, David","32,50,000",Pitcher
New York Yankees,"Williams, Bernie","1,23,57,143",Outfielder
New York Yankees,"Wilson, Enrique","7,00,000",Shortstop
New York Yankees,"Zeile, Todd","15,00,000",Third Baseman
Anaheim Angels,"Anderson, Garret","53,50,000",Outfielder
Anaheim Angels,"Appier, Kevin","1,15,00,000",Pitcher
Anaheim Angels,"Callaway, Mickey","3,02,500",Pitcher
Anaheim Angels,"Donnelly, Brendan","3,25,000",Pitcher
Anaheim Angels,"Eckstein, David","4,25,000",Shortstop
Anaheim Angels,"Erstad, Darin","72,50,000",Outfielder
Anaheim Angels,"Fullmer, Brad","10,00,000",First Baseman
Anaheim Angels,"Gil, Benji","7,25,000",Shortstop
Anaheim Angels,"Glaus, Troy","72,50,000",Third Baseman
Anaheim Angels,"Kennedy, Adam","22,70,000",Second Baseman
Anaheim Angels,"Lackey, John","3,15,000",Pitcher
Anaheim Angels,"Molina, Benjie","14,25,000",Catcher
Anaheim Angels,"Molina, Jose","3,20,000",Catcher
Anaheim Angels,"Ortiz, Ramon","22,66,667",Pitcher
Anaheim Angels,"Owens, Eric","9,25,000",Outfielder
Anaheim Angels,"Percival, Troy","78,33,333",Pitcher
Anaheim Angels,"Ramirez, Julio","3,00,000",Outfielder
Anaheim Angels,"Rodriquez, Francisco","3,12,500",Pitcher
Anaheim Angels,"Salmon, Tim","99,00,000",Outfielder
Anaheim Angels,"Schoeneweis, Scott","14,25,000",Pitcher
Anaheim Angels,"Sele, Aaron","81,66,667",Pitcher
Anaheim Angels,"Shields, Scot","3,05,000",Pitcher
Anaheim Angels,"Spiezio, Scott","42,50,000",First Baseman
Anaheim Angels,"Washburn, Jarrod","38,75,000",Pitcher
Anaheim Angels,"Weber, Ben","3,75,000",Pitcher
Anaheim Angels,"Wise, Matt","3,02,500",Pitcher
Anaheim Angels,"Wooten, Shawn","3,37,500",Catcher
Boston Red Sox,"Burkett, John","55,00,000",Pitcher
Boston Red Sox,"Damon, Johnny","75,00,000",Outfielder
Boston Red Sox,"Embree, Alan","30,00,000",Pitcher
Boston Red Sox,"Fossum, Casey","3,24,500",Pitcher
Boston Red Sox,"Fox, Chad","5,00,000",Pitcher
Boston Red Sox,"Garciaparra, Nomar","1,10,00,000",Shortstop
Boston Red Sox,"Giambi, Jeremy","20,00,000",Outfielder
Boston Red Sox,"Gonzalez, Dicky","3,00,000",Pitcher
Boston Red Sox,"Hillenbrand, Shea","4,07,500",Third Baseman
Boston Red Sox,"Howry, Bobby","17,00,000",Pitcher
Boston Red Sox,"Jackson, Damian","6,25,000",Shortstop
Boston Red Sox,"Lowe, Derek","36,25,000",Pitcher
Boston Red Sox,"Lyon, Brandon","3,09,500",Pitcher
Boston Red Sox,"Martinez, Pedro","1,55,00,000",Pitcher
Boston Red Sox,"Mendoza, Ramiro","29,00,000",Pitcher
Boston Red Sox,"Millar, Kevin","20,00,000",First Baseman
Boston Red Sox,"Mirabelli, Doug","8,05,000",Catcher
Boston Red Sox,"Mueller, Bill","21,00,000",Third Baseman
Boston Red Sox,"Nixon, Trot","40,00,000",Outfielder
Boston Red Sox,"Ortiz, David","12,50,000",First Baseman
Boston Red Sox,"Person, Robert","3,00,000",Pitcher
Boston Red Sox,"Ramirez, Manny","2,00,00,000",Outfielder
Boston Red Sox,"Timlin, Mike","18,50,000",Pitcher
Boston Red Sox,"Varitek, Jason","47,00,000",Catcher
Boston Red Sox,"Wakefield, Tim","40,00,000",Pitcher
Boston Red Sox,"Walker, Todd","34,50,000",Second Baseman
Boston Red Sox,"White, Matt","3,00,000",Pitcher
Cleveland Indians,"Anderson, Brian","15,00,000",Pitcher
Cleveland Indians,"Baez, Danys","51,25,000",Pitcher
Cleveland Indians,"Bard, Josh","3,02,100",Catcher
Cleveland Indians,"Bere, Jason","10,00,000",Pitcher
Cleveland Indians,"Blake, Casey","3,30,000",Third Baseman
Cleveland Indians,"Bradley, Milton","3,14,300",Outfielder
Cleveland Indians,"Broussard, Benjamin","3,03,000",First Baseman
Cleveland Indians,"Burks, Ellis","71,66,667",Outfielder
Cleveland Indians,"Davis, Jason","3,01,100",Pitcher
Cleveland Indians,"Garcia, Karim","9,00,000",Outfielder
Cleveland Indians,"Gutierrez, Ricky","39,16,667",Shortstop
Cleveland Indians,"Hafner, Travis","3,02,200",First Baseman
Cleveland Indians,"Laker, Tim","4,00,000",Catcher
Cleveland Indians,"Lawton, Matt","67,50,000",Outfielder
Cleveland Indians,"Lee, Cliff","3,00,900",Pitcher
Cleveland Indians,"McDonald, John","3,14,400",Shortstop
Cleveland Indians,"Mulholland, Terry","5,00,000",Pitcher
Cleveland Indians,"Myette, Aaron","3,07,500",Pitcher
Cleveland Indians,"Phillips, Brandon","3,00,900",Shortstop
Cleveland Indians,"Riske, David","3,14,000",Pitcher
Cleveland Indians,"Rodriguez, Ricardo","3,02,400",Pitcher
Cleveland Indians,"Sabathia, CC","11,00,000",Pitcher
Cleveland Indians,"Sadler, Carl","3,03,200",Pitcher
Cleveland Indians,"Santiago, Jose","6,00,000",Pitcher
Cleveland Indians,"Selby, Bill","3,25,000",Second Baseman
Cleveland Indians,"Spencer, Shane","6,00,000",Outfielder
Cleveland Indians,"Traber, Billy","3,00,000",Pitcher
Cleveland Indians,"Vizquel, Omar","55,00,000",Shortstop
Cleveland Indians,"Westbrook, Jake","3,05,500",Pitcher
Cleveland Indians,"Wickman, Bob","60,00,000",Pitcher
Cleveland Indians,"Wohlers, Mark","26,00,000",Pitcher
Toronto Blue Jays ,"Berg, Dave","7,00,000",Shortstop
Toronto Blue Jays ,"Bordick, Mike","10,00,000",Shortstop
Toronto Blue Jays ,"Catalanotto, Frank","22,00,000",Outfielder
Toronto Blue Jays ,"Creek, Doug","7,00,000",Pitcher
Toronto Blue Jays ,"Delgado, Carlos","1,87,00,000",First Baseman
Toronto Blue Jays ,"Escobar, Kelvim","39,00,000",Pitcher
Toronto Blue Jays ,"File, Bob","3,10,000",Pitcher
Toronto Blue Jays ,"Halladay, Roy","38,25,000",Pitcher
Toronto Blue Jays ,"Hendrickson, Mark","3,02,000",Pitcher
Toronto Blue Jays ,"Hinske, Eric","6,00,000",Third Baseman
Toronto Blue Jays ,"Huckaby, Ken","3,13,000",Catcher
Toronto Blue Jays ,"Hudson, Orlando","3,13,000",Second Baseman
Toronto Blue Jays ,"Lidle, Cory","53,50,000",Pitcher
Toronto Blue Jays ,"Linton, Doug","3,50,000",Pitcher
Toronto Blue Jays ,"Lopez, Aquilino","3,00,000",Pitcher
Toronto Blue Jays ,"Miller, Trever","3,05,000",Pitcher
Toronto Blue Jays ,"Myers, Greg","8,00,000",Catcher
Toronto Blue Jays ,"Phelps, Josh","3,20,000",First Baseman
Toronto Blue Jays ,"Politte, Cliff","8,45,000",Pitcher
Toronto Blue Jays ,"Stewart, Shannon","62,00,000",Outfielder
Toronto Blue Jays ,"Sturtze, Tanyon","10,00,000",Pitcher
Toronto Blue Jays ,"Tam, Jeff","6,00,000",Pitcher
Toronto Blue Jays ,"Walker, Pete","4,25,000",Pitcher
Toronto Blue Jays ,"Wells, Vernon","5,20,000",Outfielder
Toronto Blue Jays ,"Werth, Jayson","3,00,000",Catcher
Toronto Blue Jays ,"Wilson, Tom","3,16,000",Catcher
Toronto Blue Jays ,"Woodward, Chris","7,75,000",Shortstop
Baltimore Orioles,"Batista, Tony","64,00,000",Third Baseman
Baltimore Orioles,"Bauer, Rick","3,25,000",Pitcher
Baltimore Orioles,"Bedard, Erik","3,00,000",Pitcher
Baltimore Orioles,"Belle, Albert","1,30,00,000",Outfielder
Baltimore Orioles,"Conine, Jeff","42,50,000",Outfielder
Baltimore Orioles,"Cordova, Marty","31,00,000",Outfielder
Baltimore Orioles,"Cruz, Deivi","10,00,000",Shortstop
Baltimore Orioles,"Daal, Omar","30,00,000",Pitcher
Baltimore Orioles,"Erickson, Scott","70,30,000",Pitcher
Baltimore Orioles,"Fordyce, Brook","35,00,000",Catcher
Baltimore Orioles,"Gibbons, Jay","3,75,000",First Baseman
Baltimore Orioles,"Gil, Geronimo","3,30,000",Catcher
Baltimore Orioles,"Groom, Buddy","30,00,000",Pitcher
Baltimore Orioles,"Hairston, Jerry","15,50,000",Shortstop
Baltimore Orioles,"Helling, Rick","10,00,000",Pitcher
Baltimore Orioles,"Hentgen, Pat","12,00,000",Pitcher
Baltimore Orioles,"Johson, Jason","29,00,000",Pitcher
Baltimore Orioles,"Julio, Jorge","3,50,000",Pitcher
Baltimore Orioles,"Leon, Jose","3,05,000",Third Baseman
Baltimore Orioles,"Ligtenberg, Kerry","12,00,000",Pitcher
Baltimore Orioles,"Lopez, Rodrigo","3,25,000",Pitcher
Baltimore Orioles,"Matthews, Gary","9,00,000",Outfielder
Baltimore Orioles,"Mora, Melvin","17,25,000",Outfielder
Baltimore Orioles,"Morban, Jose","3,00,000",Shortstop
Baltimore Orioles,"Ponson, Sidney","42,50,000",Pitcher
Baltimore Orioles,"Roberts, Willis","35,00,000",Pitcher
Baltimore Orioles,"Ryan, BJ","7,62,500",Pitcher
Baltimore Orioles,"Segui, David","70,00,000",First Baseman
Baltimore Orioles,"Surhoff, BJ","10,00,000",First Baseman
Tampa Bay Devil Rays,"Abernathy, Brent","3,00,000",Second Baseman
Tampa Bay Devil Rays,"Anderson, Marlon","6,00,000",Second Baseman
Tampa Bay Devil Rays,"Baldelli, Rocco","3,00,000",Outfielder
Tampa Bay Devil Rays,"Bierbrodt, Nick","3,00,000",Pitcher
Tampa Bay Devil Rays,"Carter, Lance","3,00,000",Pitcher
Tampa Bay Devil Rays,"Colome, Jesus","3,00,000",Pitcher
Tampa Bay Devil Rays,"Crawford, Carl","3,00,000",Outfielder
Tampa Bay Devil Rays,"Grieve, Ben","55,00,000",Outfielder
Tampa Bay Devil Rays,"Hall, Toby","3,00,000",Catcher
Tampa Bay Devil Rays,"Harper, Travis","3,25,000",Pitcher
Tampa Bay Devil Rays,"Huff, Aubrey","3,25,000",Third Baseman
Tampa Bay Devil Rays,"Kennedy, Joe","3,00,000",Pitcher
Tampa Bay Devil Rays,"Lee, Travis","5,00,000",First Baseman
Tampa Bay Devil Rays,"Martin, Al","3,00,000",Outfielder
Tampa Bay Devil Rays,"McClung, Seth","3,00,000",Pitcher
Tampa Bay Devil Rays,"Ordonez, Rey","65,00,000",Shortstop
Tampa Bay Devil Rays,"Parque, Jim","4,00,000",Pitcher
Tampa Bay Devil Rays,"Parris, Steve","4,00,000",Pitcher
Tampa Bay Devil Rays,"Rolls, Damian","3,00,000",Third Baseman
Tampa Bay Devil Rays,"Seay, Bobby","3,00,000",Pitcher
Tampa Bay Devil Rays,"Shumpert, Terry","3,00,000",Second Baseman
Tampa Bay Devil Rays,"Sosa, Jorge","3,00,000",Pitcher
Tampa Bay Devil Rays,"Valentin, Javier","3,00,000",Catcher
Tampa Bay Devil Rays,"Venafro, Mike","3,00,000",Pitcher
Tampa Bay Devil Rays,"Zambrano, Victor","3,00,000",Pitcher
Kansas City Royals,"Affeldt, Jeremy","3,13,000",Pitcher
Kansas City Royals,"Asencio, Miguel","3,14,000",Pitcher
Kansas City Royals,"Beltran, Carlos","60,00,000",Outfielder
Kansas City Royals,"Berger, Grandon","3,04,000",Outfielder
Kansas City Royals,"Berroa, Angel","3,02,000",Shortstop
Kansas City Royals,"Brown, Dermal","3,09,500",Outfielder
Kansas City Royals,"Bukvich, Ryan","3,04,500",Pitcher
Kansas City Royals,"Carrasco, DJ","3,00,000",Pitcher
Kansas City Royals,"Difelice, Mike","6,25,000",Catcher
Kansas City Royals,"Febles, Carlos","7,75,000",Second Baseman
Kansas City Royals,"George, Chris","3,03,500",Pitcher
Kansas City Royals,"Grimsley, Jason","20,00,000",Pitcher
Kansas City Royals,"Harvey, Ken","3,00,000",First Baseman
Kansas City Royals,"Hernandez, Runelvys","3,05,500",Pitcher
Kansas City Royals,"Ibanez, Raul","30,00,000",Outfielder
Kansas City Royals,"Johnson, Rontrez","3,00,000",Outfielder
Kansas City Royals,"Lopez, Albie","15,00,000",Pitcher
Kansas City Royals,"Lopez, Mendy","3,00,000",Shortstop
Kansas City Royals,"MacDougal, Mike","3,01,000",Pitcher
Kansas City Royals,"May, Darrell","4,50,000",Pitcher
Kansas City Royals,"Mayne, Brent","27,50,000",Catcher
Kansas City Royals,"Randa, Joe","45,00,000",Third Baseman
Kansas City Royals,"Relaford, Desi","9,00,000",Shortstop
Kansas City Royals,"Sweeney, Mike","1,10,00,000",First Baseman
Kansas City Royals,"Tucker, Michael","27,50,000",Outfielder
Kansas City Royals,"Wilson, Kris","3,11,000",Pitcher
Minnesota Twins,"Cuddyer, Michael","3,02,500",Outfielder
Minnesota Twins,"Fetters, Mike","5,00,000",Pitcher
Minnesota Twins,"Fiore, Tony","3,30,000",Pitcher
Minnesota Twins,"Gomez, Chris","5,00,000",Shortstop
Minnesota Twins,"Guardado, Eddie","27,00,000",Pitcher
Minnesota Twins,"Guzman, Cristian","25,25,000",Shortstop
Minnesota Twins,"Hawkins, Latroy","30,00,000",Pitcher
Minnesota Twins,"Hocking, Denny","10,00,000",Second Baseman
Minnesota Twins,"Hunter, Torii","47,50,000",Outfielder
Minnesota Twins,"Jones, Jacque","27,50,000",Outfielder
Minnesota Twins,"Kielty, Bobby","3,25,000",Outfielder
Minnesota Twins,"Koskie, Corey","34,00,000",Third Baseman
Minnesota Twins,"Lecroy, Matt","3,12,500",Catcher
Minnesota Twins,"Lohse, Kyle","3,30,000",Pitcher
Minnesota Twins,"Mays, Joe","41,50,000",Pitcher
Minnesota Twins,"Mientkiewicz, Doug","17,50,000",First Baseman
Minnesota Twins,"Milton, Eric","60,00,000",Pitcher
Minnesota Twins,"Mohr, Dustan","3,15,000",Outfielder
Minnesota Twins,"Pierzynski, AJ","3,65,000",Catcher
Minnesota Twins,"Prince, Tom","4,50,000",Catcher
Minnesota Twins,"Radke, Brad","87,50,000",Pitcher
Minnesota Twins,"Reed, Rick","80,00,000",Pitcher
Minnesota Twins,"Rivas, Luis","3,40,000",Second Baseman
Minnesota Twins,"Rogers, Kenny","20,00,000",Pitcher
Minnesota Twins,"Romero, JC","3,25,000",Pitcher
Minnesota Twins,"Santana, Johan","3,35,000",Pitcher
Chicago White Sox,"Alomar Jr, Sandy","7,00,000",Catcher
Chicago White Sox,"Buehrle, Mark","4,45,000",Pitcher
Chicago White Sox,"Colon, Bartolo","82,50,000",Pitcher
Chicago White Sox,"Crede, Joe","3,15,000",Third Baseman
Chicago White Sox,"Daubach, Brian","4,50,000",First Baseman
Chicago White Sox,"Garland, Jon","3,75,000",Pitcher
Chicago White Sox,"Glover, Gary","3,30,000",Pitcher
Chicago White Sox,"Gordon, Tom","14,00,000",Pitcher
Chicago White Sox,"Graffanino, Tony","6,75,000",Second Baseman
Chicago White Sox,"Jimenez, D'angelo","3,45,000",Shortstop
Chicago White Sox,"Koch, Billy","42,50,000",Pitcher
Chicago White Sox,"Konerko, Paul","62,50,000",First Baseman
Chicago White Sox,"Lee, Carlos","42,00,000",Outfielder
Chicago White Sox,"Loaiza, Esteban","5,00,000",Pitcher
Chicago White Sox,"Marte, Damaso","3,30,000",Pitcher
Chicago White Sox,"Olivo, Miguel","3,00,000",Catcher
Chicago White Sox,"Ordonez, Magglio","90,00,000",Outfielder
Chicago White Sox,"Paul, Josh","3,25,000",Catcher
Chicago White Sox,"Rios, Armando","4,50,000",Outfielder
Chicago White Sox,"Rowand, Aaron","3,20,000",Outfielder
Chicago White Sox,"Stewart, Josh","3,00,000",Pitcher
Chicago White Sox,"Thomas, Frank","50,00,000",First Baseman
Chicago White Sox,"Valentin, Jose","50,00,000",Outfielder
Chicago White Sox,"White, Ribk","6,00,000",Pitcher
Chicago White Sox,"Wright, Danny","3,25,000",Pitcher
Chicago White Sox,"Wunsch, Kelly","5,75,000",Pitcher
Detroit Tigers,"Anderson, Matt","32,00,000",Pitcher
Detroit Tigers,"Bernero, Adam","3,14,000",Pitcher
Detroit Tigers,"Bocachica, Hiram","3,25,000",Outfielder
Detroit Tigers,"Bonderman, Jeremy","3,00,000",Pitcher
Detroit Tigers,"Cornejo, Nate","3,03,000",Pitcher
Detroit Tigers,"German, Franklyn","3,00,000",Pitcher
Detroit Tigers,"Halter, Shane","21,50,000",Shortstop
Detroit Tigers,"Higginson, Bobby","1,18,50,000",Outfielder
Detroit Tigers,"Infante, Omar","3,00,000",Shortstop
Detroit Tigers,"Inge, Brandon","3,15,000",Catcher
Detroit Tigers,"Kingsale, Eugene","3,40,000",Outfielder
Detroit Tigers,"Knotts, Gary","3,05,000",Pitcher
Detroit Tigers,"Ledezma, Wilfredo","3,00,000",Pitcher
Detroit Tigers,"Maroth, Mike","3,09,000",Pitcher
Detroit Tigers,"Munson, Eric","17,00,000",Third Baseman
Detroit Tigers,"Palmer, Dean","85,00,000",Third Baseman
Detroit Tigers,"Paquette, Craig","26,25,000",Third Baseman
Detroit Tigers,"Patterson, Danny","25,00,000",Pitcher
Detroit Tigers,"Pena, Carlos","3,10,000",First Baseman
Detroit Tigers,"Roney, Matt","3,00,000",Pitcher
Detroit Tigers,"Santiago, Ramon","3,07,000",Second Baseman
Detroit Tigers,"Sparks, Steve","45,00,000",Pitcher
Detroit Tigers,"Spurling, Chris","3,05,000",Pitcher
Detroit Tigers,"Walbeck, Matt","4,00,000",Catcher
Detroit Tigers,"Walker, Jamie","3,60,000",Pitcher
Detroit Tigers,"Young, Dmitri","67,50,000",Outfielder
Seattle Mariners,"Bloomquist, Willie","3,00,000",Second Baseman
Seattle Mariners,"Boone, Bret","80,00,000",Second Baseman
Seattle Mariners,"Borders, Pat","5,00,000",Catcher
Seattle Mariners,"Cameron, Mike","74,16,667",Outfielder
Seattle Mariners,"Carrara, Giovanni","4,00,000",Pitcher
Seattle Mariners,"Cirillo, Jeff","67,25,000",Third Baseman
Seattle Mariners,"Colbrunn, Greg","7,50,000",First Baseman
Seattle Mariners,"Davis, Ben","10,00,000",Catcher
Seattle Mariners,"Franklin, Ryan","4,25,000",Pitcher
Seattle Mariners,"Garcia, Freddy","68,75,000",Pitcher
Seattle Mariners,"Guillen, Carlos","25,00,000",Shortstop
Seattle Mariners,"Hasegawa, Shigetoshi","18,00,000",Pitcher
Seattle Mariners,"Mabry, John","6,00,000",First Baseman
Seattle Mariners,"Martinez, Edgar","40,00,000",First Baseman
